file,kind,direction,experiment_id,contact_id,readable,error,n_samples,nan_frac,duration_s,fs_est_hz,monotonic_time,n_dup_timestamps,dt_offgrid_frac,value_rms,value_min,value_max,spike_frac_z6,max_const_run
A70_p4.txt,segment,A,70,4.0,True,,110881,0.0,2.2175999999999974,50000.000001892884,True,0,0.0,33.47410302114402,-130.262207,110.356697,0.0,3
A70_p5.txt,segment,A,70,5.0,True,,95023,0.0,1.9004399999999961,50000.000001892884,True,0,0.0,27.49708209642391,-145.005249,118.49659,0.0,2
A70_p6.txt,segment,A,70,6.0,True,,72560,0.0,1.4511800000000008,50000.000001892884,True,0,0.0,30.26828539986043,-126.732521,133.431717,0.0,2
A73_p1.txt,segment,A,73,1.0,True,,160462,0.0,3.209219999999995,50000.000001892884,True,0,0.0,35.0080316833318,-148.72702,128.677444,0.0,3
A73_p2.txt,segment,A,73,2.0,True,,146639,0.0,2.932760000000002,50000.000001892884,True,0,0.0,32.355260692817616,-131.558823,119.601112,0.0,3
A73_p3.txt,segment,A,73,3.0,True,,127456,0.0,2.549100000000003,50000.000001892884,True,0,0.0,34.00109275592987,-139.986847,118.25647,0.0,2
A73_p4.txt,segment,A,73,4.0,True,,108169,0.0,2.1633599999999973,50000.000001892884,True,0,0.0,28.427783870395878,-130.23819,140.755219,0.0,4
A73_p5.txt,segment,A,73,5.0,True,,90840,0.0,1.8167799999999943,49999.99998412932,True,0,0.0,30.84583235801752,-154.249664,131.174637,0.0,3
A73_p6.txt,segment,A,73,6.0,True,,82484,0.0,1.6496599999999972,49999.99998412932,True,0,0.0,28.503073379555595,-155.522263,121.257904,0.0,2
A74_p1.txt,segment,A,74,1.0,True,,161005,0.0,3.2200799999999994,50000.000001892884,True,0,0.0,45.04952119137895,-235.480453,233.51152,0.0,2
A74_p2.txt,segment,A,74,2.0,True,,159214,0.0,3.184260000000002,50000.000001892884,True,0,0.0,37.76443579205243,-222.826416,211.925201,0.0,2
A74_p3.txt,segment,A,74,3.0,True,,131845,0.0,2.636879999999998,50000.000001892884,True,0,0.0,33.770392898111794,-160.180496,165.799179,0.0,3
A74_p4.txt,segment,A,74,4.0,True,,111107,0.0,2.2221199999999968,50000.000001892884,True,0,0.0,33.30308086081972,-162.725708,160.876831,0.0,3
A74_p5.txt,segment,A,74,5.0,True,,96510,0.0,1.93018,50000.000001892884,True,0,0.0,34.5820617501088,-202.800842,179.845886,0.0,2
A74_p6.txt,segment,A,74,6.0,True,,74845,0.0,1.4968800000000044,50000.000001892884,True,0,0.0,35.872620125770965,-226.476151,183.75975,1.3360945954973613e-05,2
A75_p1.txt,segment,A,75,1.0,True,,162548,0.0,3.25094,50000.000001892884,True,0,0.0,50.150456090691534,-216.775528,186.881241,0.0,3
A75_p2.txt,segment,A,75,2.0,True,,150258,0.0,3.005140000000001,50000.000001892884,True,0,0.0,34.67064091347418,-212.045258,195.525375,6.655219688801927e-06,2
A75_p3.txt,segment,A,75,3.0,True,,133676,0.0,2.673500000000004,50000.000001892884,True,0,0.0,28.791529112026478,-162.461578,150.191727,0.0,3
A75_p4.txt,segment,A,75,4.0,True,,110994,0.0,2.219859999999997,50000.000001892884,True,0,0.0,29.864948532818126,-230.726181,204.313568,1.8018992017586535e-05,3
A75_p5.txt,segment,A,75,5.0,True,,101633,0.0,2.0326400000000007,50000.000001892884,True,0,0.0,27.82969819592308,-150.359802,143.276428,0.0,2
A75_p6.txt,segment,A,75,6.0,True,,74662,0.0,1.4932199999999938,50000.000001892884,True,0,0.0,31.794314389899167,-230.221939,196.317749,4.018108274624307e-05,2
A76_p1.txt,segment,A,76,1.0,True,,169291,0.0,3.3858000000000033,50000.000001892884,True,0,0.0,68.763142942679,-265.59082,252.648651,0.0,3
A76_p2.txt,segment,A,76,2.0,True,,158814,0.0,3.176259999999999,50000.000001892884,True,0,0.0,34.251907811873394,-249.57518,246.477707,8.185676325764731e-05,2
A76_p3.txt,segment,A,76,3.0,True,,128579,0.0,2.571559999999998,50000.000001892884,True,0,0.0,36.43155989299249,-187.241425,195.74147,0.0,2
A76_p4.txt,segment,A,76,4.0,True,,112430,0.0,2.248580000000004,50000.000001892884,True,0,0.0,35.6978770153044,-255.049805,228.805267,2.6683269589967092e-05,2
A76_p5.txt,segment,A,76,5.0,True,,90674,0.0,1.8134599999999992,50000.000001892884,True,0,0.0,37.0576600953699,-206.282516,204.6017,0.0,2
A76_p6.txt,segment,A,76,6.0,True,,76892,0.0,1.5378199999999964,50000.000001892884,True,0,0.0,37.57084729657576,-199.799408,185.536606,0.0,2
A77_p1.txt,segment,A,77,1.0,True,,166554,0.0,3.331060000000001,50000.000001892884,True,0,0.0,40.841717495859235,-236.46492,203.857346,0.0,3
A77_p2.txt,segment,A,77,2.0,True,,150027,0.0,3.000519999999998,50000.000001892884,True,0,0.0,28.20848906143742,-148.823074,175.21167,6.665466882627794e-06,2
