model,t,VB_mean,VB_std,VB_q025,VB_q16,VB_q84,VB_q975,is_extrapolation
Poly2(t),1.3200000000000003,93.18319008000006,2.481486263029876,88.94235377777778,90.33926732929298,95.78598901010113,97.67858824242434,False
Poly2(t),1.3300000000000003,93.29517164549594,2.4703555776935646,89.07143583987605,90.45913962796149,95.88348040509655,97.76779381060616,False
Poly2(t),1.3400000000000003,93.40737952321393,2.459272813624356,89.20070694536274,90.57922033186415,95.98582255702476,97.85777697979807,False
Poly2(t),1.3500000000000003,93.51981371315418,2.4482381132261546,89.33016709423785,90.69950944100098,96.09332588269058,97.94807291666676,False
Poly2(t),1.3600000000000003,93.6324742153169,2.4372516198476015,89.4598162865014,90.82716152947661,96.2080074754821,98.03864157575767,False
Poly2(t),1.3700000000000003,93.7453610297015,2.426313477775119,89.58965452215337,90.95553312387517,96.32320552001839,98.1294829570708,False
Poly2(t),1.3800000000000003,93.85847415630862,2.4154238322254042,89.72047819582185,91.07617333957764,96.42656714306705,98.22059706060615,False
Poly2(t),1.3900000000000003,93.97181359513786,2.4045828293373375,89.85444326050275,91.21186058264465,96.53854196349867,98.31198388636372,False
Poly2(t),1.4000000000000004,94.08537934618911,2.3937906161633067,89.98859839302112,91.3452994674013,96.6519946740129,98.40364343434352,False
Poly2(t),1.4100000000000004,94.19917140946279,2.3830473406599304,90.12294359337695,91.47539280964189,96.76566103604229,98.4970760164716,False
Poly2(t),1.4200000000000004,94.31318978495868,2.372353151678143,90.25747886157025,91.60567106225899,96.87734837520667,98.59905697451798,False
Poly2(t),1.4300000000000004,94.42743447267688,2.361708198952645,90.392204197601,91.73613422525254,96.98911972070712,98.70128405871219,False
Poly2(t),1.4400000000000004,94.54190547261713,2.351112633090695,90.52711960146924,91.86094697520666,97.09904125325993,98.80340258310379,False
Poly2(t),1.4500000000000004,94.65660278477965,2.340566605560225,90.66222507317492,91.98394987947664,97.20878298553724,98.90127618586436,False
Poly2(t),1.4600000000000004,94.77152640916435,2.330070268677247,90.79752061271809,92.10808576584031,97.31875354986232,98.99939760089534,False
Poly2(t),1.4700000000000004,94.88667634577138,2.319623775592565,90.93300622009872,92.23708294972461,97.41619165661166,99.0979236550448,False
