experiment_id,contact_id,channel,original_n_samples,active_window_n_samples,retained_fraction,original_duration_s,active_duration_s,rms_full,rms_active,energy_full,energy_active,waveform_length_full,waveform_length_active,dominant_frequency_full,dominant_frequency_active,notes
75,3,axial,133676,119251,0.8921,2.6735,2.385,28.7915,30.3893,110811007.39775226,110129672.89295638,2619926.81,2547569.38,2063.2,2063.3,
75,4,axial,110994,101653,0.9158,2.2199,2.0331,29.8649,31.148,98997230.10597198,98623288.48150979,2255391.66,2209988.43,2304.18,2329.49,
75,5,axial,101633,86869,0.8547,2.0327,1.7374,27.8297,30.0023,78713955.75292964,78194014.51981804,1898954.93,1826435.53,2305.35,2305.2,
75,6,axial,74662,69460,0.9303,1.4932,1.3892,31.7943,32.9212,75474205.0317293,75281288.40574746,1579087.43,1552592.58,2308.4,2306.36,
76,1,axial,169291,149253,0.8816,3.3858,2.9851,68.7631,73.1598,800470456.3800128,798855455.9811231,6042548.01,5947142.1,4929.97,4929.88,
76,2,axial,158814,133646,0.8415,3.1763,2.6729,34.2519,37.1571,186319503.07744297,184518793.27750477,3367689.67,3211921.59,4702.36,4702.35,
76,3,axial,128579,118766,0.9237,2.5716,2.3753,36.4316,37.8479,170657577.89478055,170128266.28038058,2816042.77,2761794.67,4914.88,4914.71,
76,4,axial,112430,102401,0.9108,2.2486,2.048,35.6979,37.3529,143273868.9279145,142873821.47608218,2478003.36,2425548.56,4763.41,4763.63,
76,5,axial,90674,84642,0.9335,1.8135,1.6928,37.0577,38.3019,124519899.55267102,124172652.17240553,2120212.72,2086177.96,5012.46,5012.29,
76,6,axial,76892,68662,0.893,1.5378,1.3732,37.5708,39.6898,108538330.09271967,108161723.56520522,1774437.18,1731261.75,4730.66,4691.82,
77,1,axial,166554,149622,0.8983,3.3311,2.9924,40.8417,42.9953,277819714.83136666,276590401.28267,4019086.28,3943047.94,4777.13,4777.04,
77,2,axial,150027,134280,0.895,3.0005,2.6856,28.2085,29.6611,119379312.67394975,118137054.71968779,2848577.51,2744234.75,4759.48,4759.46,
77,3,axial,132817,123095,0.9268,2.6563,2.4619,27.899,28.8666,103378494.38798511,102572985.62146577,2453844.7,2416570.98,2238.42,2238.51,
77,4,axial,51124,36846,0.7207,1.0225,0.7369,11.3372,13.0826,6571042.625234336,6306329.887889818,237752.32,197230.31,10175.26,10191.07,
66,1,rotational,164535,149428,0.9082,3.2907,2.9886,25.8596,27.1175,110027788.54350878,109883239.49034913,2048206.8,2022808.47,1878.02,2184.66,
66,2,rotational,160068,136294,0.8515,3.2014,2.7259,23.1332,25.0247,85659235.798234,85351919.73631693,1564089.86,1505477.55,1882.33,1882.33,
66,3,rotational,138477,121832,0.8798,2.7695,2.4366,24.1158,25.6818,80534203.18570028,80354823.20012902,1447035.76,1410737.43,1908.62,1908.78,
66,4,rotational,126831,107570,0.8481,2.5366,2.1514,22.5283,24.4368,64369868.16300974,64236159.24105467,1204531.91,1170280.3,1792.54,1792.32,
66,5,rotational,109054,89087,0.8169,2.1811,1.7817,20.3231,22.4278,45042416.50013281,44811299.55450577,1024464.16,977335.19,2122.34,2122.64,
66,6,rotational,87757,69803,0.7954,1.7551,1.3961,20.951,23.4186,38520584.33868703,38282244.68497639,857879.66,814979.97,4691.93,4691.78,
67,1,rotational,164821,148775,0.9026,3.2964,2.9755,26.0664,27.3805,111988887.9413397,111535211.3098516,2249641.09,2205821.89,1996.1,1995.97,
67,2,rotational,145642,133595,0.9173,2.9128,2.6719,22.0752,22.9924,70973487.2258826,70625303.17358409,1687556.8,1644159.46,2092.8,2092.89,low_contrast
67,3,rotational,311286,285045,0.9157,6.2257,5.7009,12.5258,13.0523,48839555.568462186,48560971.176835194,1704343.48,1655301.67,1910.14,1997.4,
