model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
Lasso,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,grouped_scaling,FUSION_A_ST_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__alpha"": 0.01}",28.369546551805552,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__alpha"": 0.001}",21.122532442663083,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__l1_ratio"": 0.7, ""model__alpha"": 0.1}",23.106630365599877,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__gamma"": ""scale"", ""model__epsilon"": 1, ""model__C"": 10}",47.63110230753771,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 1, ""model__max_depth"": 5}",53.2615,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,FUSION,A,random,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",36.14764938354492,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.01}",28.369546551805552,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.001}",21.122532442663083,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",23.106630365599877,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",47.586556367036295,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 50}",52.692499999999995,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",37.90040302276611,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
BNN,SOLO_A,N,none,none,SOLO_A_N_ST,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,SOLO_A,N,none,none,SOLO_A_N_CT_random,95,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,SOLO_A,N,random,none,SOLO_A_N_CT_random,95,"{""model__alpha"": 10}",29.04888644423378,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,SOLO_A,N,random,none,SOLO_A_N_CT_random,95,"{""model__alpha"": 0.01}",32.327755378530156,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,SOLO_A,N,random,none,SOLO_A_N_CT_random,95,"{""model__l1_ratio"": 0.5, ""model__alpha"": 1}",19.87073995042815,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,SOLO_A,N,random,none,SOLO_A_N_CT_random,95,"{""model__gamma"": 0.01, ""model__epsilon"": 0.1, ""model__C"": 100}",48.80087494735148,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
