branch_id,data_branch,tuning_method,augmentation_strategy,model,MAE,RMSE,R2,MAPE_%,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,delta_MAPE_%_vs_baseline,baseline_branch,mae_interpretation
FUSION_N_CT_random,N,random,none,ElasticNet,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063,1.575975992409937,-1.2365414078736094,0.024186876396960377,0.9733002931688723,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_N_CT_grid,N,grid,none,ElasticNet,26.10265251044479,34.60644166536894,0.6674878169030141,16.557561622248063,1.575975992409937,-1.2365414078736094,0.024186876396960377,0.9733002931688723,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_random_feature_noise,A,random,feature_noise,Lasso,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794,1.7419449301979988,0.6798874239722252,-0.013660429900288484,2.2856382088087486,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_A_A_CT_grid_feature_noise,A,grid,feature_noise,Lasso,26.268621448232853,36.522870497214775,0.6296405106057652,17.86989953788794,1.7419449301979988,0.6798874239722252,-0.013660429900288484,2.2856382088087486,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_A_CT_grid_feature_scaling,A,grid,feature_scaling,ElasticNet,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,1.8122102057439875,-0.8385055967842376,0.016493921517086174,1.204804931883114,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_A_CT_random_feature_scaling,A,random,feature_scaling,ElasticNet,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,1.8122102057439875,-0.8385055967842376,0.016493921517086174,1.204804931883114,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_A_CT_grid_grouped_scaling,A,grid,grouped_scaling,ElasticNet,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,2.4644647819683314,0.9173279423118288,-0.018491605432876534,1.2821819609247562,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
FUSION_A_CT_random_grouped_scaling,A,random,grouped_scaling,ElasticNet,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,2.4644647819683314,0.9173279423118288,-0.018491605432876534,1.2821819609247562,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_R_A_ST_feature_scaling,A,none,feature_scaling,ElasticNet,29.17004734018453,36.47412813973519,0.6306283929061574,19.55221433273222,4.643370822149677,0.6311450664926426,-0.012672547599896333,3.9679530036530295,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_R_A_ST_grouped_scaling,A,none,grouped_scaling,ElasticNet,29.283408066316763,36.288666918571366,0.6343751553501229,19.648258714934496,4.756731548281909,0.44568384532881566,-0.008925785155930788,4.063997385855306,FUSION_N_ST,"marginal (<5 µm, no significativo con n=10)"
SOLO_R_N_ST,N,none,none,ElasticNet,29.905826312833785,37.60229499771214,0.6074252395139594,19.864712311208038,5.379149794798931,1.7593119244695927,-0.03587570099209425,4.280450982128848,FUSION_N_ST,empeora
SOLO_R_A_ST_feature_noise,A,none,feature_noise,ElasticNet,30.030778758221818,37.7311514520558,0.6047300600834686,19.92347516215575,5.504102240186963,1.8881683788132477,-0.03857088042258505,4.33921383307656,FUSION_N_ST,empeora
SOLO_R_N_CT_random,N,random,none,ElasticNet,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563,5.698839672041284,-2.9432304612364177,0.0561752159840373,4.014837073296441,FUSION_N_ST,empeora
SOLO_R_N_CT_grid,N,grid,none,ElasticNet,30.22551619007614,32.89975261200613,0.699476156490091,19.59909840237563,5.698839672041284,-2.9432304612364177,0.0561752159840373,4.014837073296441,FUSION_N_ST,empeora
