model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
ElasticNet,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,52.57572490658811,64.88425175782739,-0.16888630786467607,34.23830624424381,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,58.13199999999999,69.53084509769747,-0.3422972049232442,38.708964182792585,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,43.29675064086914,52.53076899129275,0.2338369790802196,25.293432287016028,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_random_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,40.465994725179755,64.23350486124927,-0.14555754292016654,25.199702966409482,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,30.459085398957985,37.10899787504797,0.6176578985725272,18.823860631333293,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,26.33888672377884,35.00447747645831,0.6597948620231399,16.789066260962304,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,52.72924079019094,64.99613377465494,-0.17292088037916664,34.358291464943264,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,54.968,66.74341735332406,-0.23683153186420802,36.417660186785085,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,41.802984619140624,52.55058881830143,0.23325872433491313,24.969307798652192,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,223.28698443497888,579.6427416440089,-92.28557092381165,94.94907693272738,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,feature_scaling,FUSION_A_CT_grid_feature_scaling,189,35.334468841552734,48.39691097314058,0.3496772371464243,20.9690980402096,36,9,27,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,41.14998337956623,66.69678283939967,-0.2351037543836474,25.40060708346222,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,33.92134167935584,44.90330974005927,0.4401774651311742,20.07101202046119,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,24.463259741025645,35.731537839028306,0.6455156339546402,15.630714309889374,36,9,27,10,10,
SVR,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,52.54695823296745,64.82095584557366,-0.16660687530959395,34.229845065738154,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,53.922260119047635,67.35665778400036,-0.2596640321157391,35.98392607744338,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,52.89524459838867,63.954146590174666,-0.13561491024423256,32.24981619209502,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,235.74568801936502,675.9909973355792,-125.87483611270015,89.12038742713409,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,grouped_scaling,FUSION_A_ST_grouped_scaling,189,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,56.535961236996286,127.20985026559374,-3.4929869046460915,26.484629622776446,36,9,27,10,10,
