model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
Ridge,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,43.60602563281867,63.826701718267365,-0.13109341787679507,28.393108360704733,9,9,0,10,10,
Lasso,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,36.84317912672374,47.712153980373515,0.3679495910400751,22.794790534627058,9,9,0,10,10,
ElasticNet,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,34.792971873251275,43.20252331609617,0.481782712871504,25.087364384839393,9,9,0,10,10,
SVR,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,60.74395948600841,70.86089768955812,-0.39414186711516597,39.96001028532742,9,9,0,10,10,
RandomForest,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,49.68658333333335,62.570889935428745,-0.08702200003652139,33.317358662364015,9,9,0,10,10,
XGBoost,FUSION,N,CT,grid,loeo,none,FUSION_N_CT_grid,189,51.03193054199219,63.06072568625173,-0.10410810593823694,32.93089319247142,9,9,0,10,10,
MLP,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,189,232.668214776481,595.6639641539172,-97.51363059884639,101.89454086909187,9,9,0,10,10,
BNN,FUSION,N,CT,none,loeo,none,FUSION_N_CT_grid,189,41.1695556640625,53.02454835806059,0.21936570649436626,25.73982579814705,9,9,0,10,10,
DummyRegressor,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,40.83995059687994,59.9392356892472,0.0024927256340427917,27.307905655984865,36,9,27,10,10,
Lasso,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,33.75802618159396,40.03575130331035,0.5549696441335827,21.66406136811705,36,9,27,10,10,
ElasticNet,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,24.485374620338934,35.842333359444,0.643313871918596,15.527241127985992,36,9,27,10,10,
