tool_id,experiment_id,within_tool_order,vb_um,vc,fz,cooling,usable_sensor,usable_trajectory
T5,25,5,146.0,80,0.08,Dry,True,True
T6,26,1,133.0,80,0.08,Coolant,True,True
T6,27,2,133.0,80,0.08,Coolant,True,True
T6,28,3,133.0,80,0.08,Coolant,True,True
T6,29,4,133.0,80,0.08,Coolant,True,True
T6,30,5,133.0,80,0.08,Coolant,True,True
T7,31,1,204.0,70,0.3,Dry,True,True
T7,32,2,212.5,70,0.3,Dry,True,True
T7,33,3,221.0,70,0.3,Dry,True,True
T7,34,4,237.5,70,0.3,Dry,True,True
T7,35,5,254.0,70,0.3,Dry,True,True
T8,36,1,87.0,70,0.3,Coolant,True,True
T8,37,2,102.5,70,0.3,Coolant,True,True
T8,38,3,118.0,70,0.3,Coolant,True,True
T8,39,4,127.0,70,0.3,Coolant,True,True
T8,40,5,136.0,70,0.3,Coolant,True,True
T9,41,1,123.0,70,0.2,Dry,True,True
T9,42,2,137.0,70,0.2,Dry,True,True
T9,43,3,151.0,70,0.2,Dry,True,True
T9,44,4,163.5,70,0.2,Dry,True,True
T9,45,5,176.0,70,0.2,Dry,True,True
